Comuna;Población 2010;Población 2022;Variación absoluta;Variación relativa (%);Aumento población/año;Población 2016;Población 2017;Población 2018;Población 2019;Población 2020;Población 2021
0;2.890.151;3.121.707;231.556;8,0;19296,3;3.005.929,00000;3025225,3;3044521,7;3063818,0;3083114,3;3102410,7
1;205.886;223.554;17.668;8,6;1472,3;214.720;216192,3;217664,7;219137,0;220609,3;222081,7
2;157.932;161.645;3.713;2,4;309,4;159.789;160097,9;160407,3;160716,8;161026,2;161335,6
3;187.537;196.240;8.703;4,6;725,3;191.889;192613,8;193339,0;194064,3;194789,5;195514,8
4;218.245;229.240;10.995;5,0;916,3;223.743;224658,8;225575,0;226491,3;227407,5;228323,8
5;179.005;194.271;15.266;8,5;1272,2;186.638;187910,2;189182,3;190454,5;191726,7;192998,8
6;176.076;203.043;26.967;15,3;2247,3;189.560;191806,8;194054,0;196301,3;198548,5;200795,8
7;220.591;215.896;-4.695;-2,1;-391,3;218.244;217852,3;217461,0;217069,8;216678,5;216287,3
8;187.237;204.367;17.130;9,1;1427,5;195.802;197229,5;198657,0;200084,5;201512,0;202939,5
9;161.797;169.063;7.266;4,5;605,5;165.430;166035,5;166641,0;167246,5;167852,0;168457,5
10;166.022;173.004;6.982;4,2;581,8;169.513;170094,8;170676,7;171258,5;171840,3;172422,2
11;189.832;204.601;14.769;7,8;1230,8;197.217;198447,3;199678,0;200908,8;202139,5;203370,3
12;200.116;236.887;36.771;18,4;3064,3;218.502;221565,8;224630,0;227694,3;230758,5;233822,8
13;231.331;264.385;33.054;14,3;2754,5;247.858;250612,5;253367,0;256121,5;258876,0;261630,5
14;225.970;248.635;22.665;10,0;1888,8;237.303;239191,3;241080,0;242968,8;244857,5;246746,3
15;182.574;196.876;14.302;7,8;1191,8;189.725;190916,8;192108,7;193300,5;194492,3;195684,2